"","county","trade_name","account","license_type","expiration_date","lat","lon","address_full","publish_date","state","expired_y_n"
"1",NA,"SMK TRADING LLC","NJ_21_7765",NA,2022-03-31,NA,NA,"613 RIDGE ROAD SHOP # 103, MONMOUTH JUNCTION, NJ, 08852",2021-04-01,"NJ","EXPIRED"
"2",NA,"GOLDEN STAR CHINESE KITCHEN","NJ_22_133",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"3",NA,"FABER, COE & GREGG OF FLORIDA, INC.","NJ_22_166",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"4",NA,"OCEANSIDE TEES & SOUVINEERS","NJ_22_219",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"5",NA,"THE MERK, INC.","NJ_22_256",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"6",NA,"ALL BROTHER LIQUOR #2","NJ_22_303",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"7",NA,"RG GROUP AND SONS CORPORATION","NJ_22_371",NA,2023-03-31,NA,NA,"401 PALISADE AVE # 403, JERSEY CITY, NJ, 07307",2022-04-01,"NJ","ACTIVE"
"8",NA,"TRASH LADIES LLC","NJ_22_500",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"9",NA,"BERKELEY LIQUOR OUTLET","NJ_22_501",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"10",NA,"GROVE CONVENIENCE","NJ_22_505",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"11",NA,"OM HARIKRISHNA LLC","NJ_22_514",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"12",NA,"BP GROCERY","NJ_22_574",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"13",NA,"SRI SARASWATI INC","NJ_22_614",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"14",NA,"RAKAAB GAS INC","NJ_22_702",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"15",NA,"WAWA FOOD MARKET 470","NJ_22_781",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"16",NA,"HERITAGE DAIRY 25","NJ_22_1041",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"17",NA,"HERITAGE DAIRY 30","NJ_22_1044",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"18",NA,"SHOP RITE OF RAMSEY","NJ_22_1092",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"19",NA,"SHOP RITE FOODARAMA OF FREEHOLD #607","NJ_22_1118",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"20",NA,"SHOP RITE WINES & LIQUORS OF FREEHOLD","NJ_22_1128",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"21",NA,"QUICK CHEK 40","NJ_22_1234",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"22",NA,"CAPE LIQUORS","NJ_22_1368",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"23",NA,"ELWOOD VALERO","NJ_22_1553",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"24",NA,"SPIRITS UNLIMITED","NJ_22_1599",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"25",NA,"ONO, INC.","NJ_22_1666",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"26",NA,"POWER GAS","NJ_22_1723",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"27",NA,"NORTH BERGEN LIQUORS","NJ_22_1725",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"28",NA,"SMOKER'S HAVEN","NJ_22_1795",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"29",NA,"JOHN & DOUGS","NJ_22_1870",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"30",NA,"PAULSBORO EXXON","NJ_22_1989",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"31",NA,"7-ELEVEN 18024C","NJ_22_2073",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"32",NA,"POWER GAS STATION","NJ_22_2137",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"33",NA,"MANSFIELD BOTTLE KING INC","NJ_22_2149",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"34",NA,"7-ELEVEN 11036G","NJ_22_2215",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"35",NA,"H-MART","NJ_22_2320",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"36",NA,"RGH OIL CORPORATION","NJ_22_2331",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"37",NA,"GALLAGHERS BUY RITE","NJ_22_2337",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"38",NA,"SAM CHEUNG, INC.","NJ_22_2390",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"39",NA,"SIMON & LAM'S ENTERPRISE, INC.","NJ_22_2405",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"40",NA,"VILLAGE SUPER MARKET OF NJ LP","NJ_22_2414",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"41",NA,"VILLAGE SUPER MARKET OF NJ LP","NJ_22_2431",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"42",NA,"MAIN STREET DELI","NJ_22_2465",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"43",NA,"AKAR VII AUTOMOTIVE INC.","NJ_22_2518",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"44",NA,"WINE WORLD","NJ_22_2530",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"45",NA,"ISTANBUL FOOD MARKET","NJ_22_2610",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"46",NA,"PALMER CONVENIENCE","NJ_22_2639",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"47",NA,"LOBBY SHOP","NJ_22_2740",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"48",NA,"J.S. CONVENIENCE CORP.","NJ_22_2758",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"49",NA,"SHOPPERS EXPRESS","NJ_22_2763",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"50",NA,"JOEL MINI MARKET","NJ_22_2881",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"51",NA,"GONZALEZ MINI MARKET, LLC","NJ_22_2921",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"52",NA,"HUDSON NEWS","NJ_22_2922",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"53",NA,"HUDSON NEWS","NJ_22_2923",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"54",NA,"HUDSON NEWS","NJ_22_2924",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"55",NA,"HUDSON NEWS","NJ_22_2925",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"56",NA,"PALMYRA DOLLAR PLUS MART","NJ_22_2939",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"57",NA,"FAIRFIELD NEWS & FOOD STORE","NJ_22_2974",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"58",NA,"S&G OIL INC","NJ_22_3042",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"59",NA,"MAIN ST MINI MARKET","NJ_22_3103",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"60",NA,"SALEM FOOD MART","NJ_22_3128",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"61",NA,"SIRI SAI LLC","NJ_22_3155",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"62",NA,"7-ELEVEN 34157A","NJ_22_3184",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"63",NA,"7-ELEVEN 2412-34272A","NJ_22_3263",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"64",NA,"ESQUIRE NEWS AND SMOKE SHOP","NJ_22_3380",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"65",NA,"SILVERMAN ASSOCIATES. LLC","NJ_22_3493",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"66",NA,"SUN DELI","NJ_22_3505",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"67",NA,"PILOT TRAVEL CENTER #190","NJ_22_3516",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"68",NA,"LOTUS LEAF","NJ_22_3543",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"69",NA,"WALGREENS #06253","NJ_22_3588",NA,2023-03-31,NA,NA,"300 WILMOT ROAD MS#3301, DEERFIELD, IL, 60015",2022-04-01,"NJ","ACTIVE"
"70",NA,"WALGREENS #12003","NJ_22_3644",NA,2023-03-31,NA,NA,"300 WILMOT ROAD - MS#3301, DEERFIELD, IL, 60015",2022-04-01,"NJ","ACTIVE"
"71",NA,"PANDA WOK","NJ_22_3776",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"72",NA,"CRANBURY C-STORE LLC","NJ_22_3788",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"73",NA,"JERSEY PETROLEUM LLC","NJ_22_3837",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"74",NA,"HABER LIQUORS LIMITED LIABILITY COMPANY","NJ_22_3912",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"75",NA,"CHINA HOUSE","NJ_22_3991",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"76",NA,"WARREN COUNTY PETROLEUM INC","NJ_22_4014",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"77",NA,"MADISON QUICK STOP LLC","NJ_22_4026",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"78",NA,"KM AND KS ENTERPRISES INC","NJ_22_4044",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"79",NA,"FRANKLIN TURNPIKE ASSOCIATES INC","NJ_22_4046",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"80",NA,"SUBURAN BAR & LIQUOR","NJ_22_4075",NA,2023-03-31,NA,NA,"492 JOLINE AVE  UNIT # 10, LONG BRANCH, NJ, 07740",2022-04-01,"NJ","ACTIVE"
"81",NA,"SOUTH CAMDEN FOOD MARKET","NJ_22_4300",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"82",NA,"VASUDEVAY LLC","NJ_22_4347",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"83",NA,"101 ROUTE 4 ASSOCIATES INC","NJ_22_4467",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"84",NA,"IJ ENERGY LIMITED LIABILTY COMPANY","NJ_22_4487",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"85",NA,"AL MINI MARKET","NJ_22_4565",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"86",NA,"QUICK STOP FOOD STORE","NJ_22_4566",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"87",NA,"7-ELEVEN STORE# 2413-36048A","NJ_22_4568",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"88",NA,"STERLING MARKET","NJ_22_4575",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"89",NA,"NERMEEN LIMITED LIABILITY COMPANY","NJ_22_4586",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"90",NA,"PROSPECT LIQUORS LLC","NJ_22_4596",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"91",NA,"COLLADO URENA GROCERY DELI","NJ_22_4612",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"92",NA,"NEW BROTHER MINI MARKET AND DELI","NJ_22_4658",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"93",NA,"COUNTRY LAKES PUB & GRILL","NJ_22_4674",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"94",NA,"UNIQUE DELI LLC","NJ_22_4675",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"95",NA,"7-ELEVEN STORE 35693A","NJ_22_4690",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"96",NA,"EXPRESS MART","NJ_22_4719",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"97",NA,"HALEDON GAS & AUTO  INC","NJ_22_4745",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"98",NA,"FASTWAY SHOP","NJ_22_4871",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"99",NA,"METRO MARKETPLACE 2 LLC","NJ_22_4997",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"100",NA,"EXPRESS LIQUOR WAREHOUSE","NJ_22_5020",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"101",NA,"BABA FAST FOOD LLC","NJ_22_5021",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"102",NA,"NEW WAY SUPERMARKET","NJ_22_5066",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"103",NA,"TRAINO'S WINE & SPIRITS","NJ_22_5117",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"104",NA,"HUDSON NEWS STORE #7","NJ_22_5147",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"105",NA,"DONA CHELY GROCERY STORE","NJ_22_5292",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"106",NA,"DOLLAR GENERAL STORE #8336","NJ_22_5295",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"107",NA,"UNI MART","NJ_22_5505",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"108",NA,"7-ELEVEN STORE 2412-39585A","NJ_22_5590",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"109",NA,"PATRI MEAT MARKET","NJ_22_5653",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"110",NA,"JALO FAMILY CANDY STORE","NJ_22_5656",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
"111",NA,"FERNANDEZ FOOD MARKET","NJ_22_5670",NA,2023-03-31,NA,NA,"NA, NA, NA, 00000",2022-04-01,"NJ","ACTIVE"
